x, y, time
0, 0, 0
0.011111111111111112, -0.2222222222222222, 0.3563588857650757
0.08888888888888889, -0.4111111111111111, 0.48565804958343506
0.1111111111111111, -0.4888888888888889, 0.5170309543609619
0.13333333333333333, -0.5333333333333333, 0.5742645263671875
0.14444444444444443, -0.5777777777777777, 0.5843871831893921
0.16666666666666666, -0.6666666666666666, 0.6228989362716675
0.2222222222222222, -0.7888888888888889, 0.7097119092941284
0.23333333333333334, -0.8222222222222222, 0.821152925491333
0.25555555555555554, -0.8222222222222222, 0.8601540327072144
0.3333333333333333, -0.8222222222222222, 0.9832590818405151
1.3777777777777778, -0.9, 2.2942185401916504
1.4777777777777779, -0.9666666666666667, 2.3014384508132935
1.6111111111111112, -1.1444444444444444, 2.4322938919067383
1.511111111111111, -1.5777777777777777, 2.6437610387802124
1.4333333333333333, -1.6666666666666667, 2.678261399269104
1.3555555555555556, -1.7222222222222223, 2.68621027469635
1.2222222222222223, -1.8, 2.7798962593078613
1.0333333333333334, -1.8555555555555556, 2.9323524236679077
1.011111111111111, -1.8555555555555556, 3.0070102214813232
0.9888888888888889, -1.8555555555555556, 3.008706569671631
0.8444444444444444, -1.8555555555555556, 3.096991181373596
0.7888888888888889, -1.8555555555555556, 3.152017593383789
0.7333333333333333, -1.8333333333333333, 3.2239073514938354
0.7111111111111111, -1.8222222222222222, 3.245992064476013
0.7, -1.8222222222222222, 3.4037792682647705
0.6, -1.7666666666666666, 3.442956805229187
0.43333333333333335, -1.6555555555555554, 3.4686464071273804
0.2, -1.5222222222222221, 3.556760549545288
0.1111111111111111, -1.4777777777777779, 3.602503538131714
0.03333333333333333, -1.4555555555555555, 3.7081295251846313
-0.08888888888888889, -1.4333333333333333, 3.7660467624664307
